AP1,FD,LFY,TFL1a,TFL1c,days
22.283512685411075,51.459269725264164,22.731701536001633,20.488121285770497,24.28739866801089,11
88.15266194932062,37.075443469577635,3.37910909998876,18.218639752394186,24.245365878553947,11
64.62456431646136,40.92798149816653,0.7673144776684246,21.883757468593263,23.010806418501083,11
72.84649281946069,47.160564167730094,3.2992093030049343,15.900844316507486,25.21377844116152,11
19.363920987731127,54.84971348480041,2.925775648096744,18.54638765001077,28.0949597546313,11
43.466640126079724,34.06412476625442,14.419855470614863,19.228161917417527,21.614351110808997,11
21.22563547269392,33.47563589882283,27.878579814139183,21.651033165056994,23.07801822296211,11
13.947825407383487,55.17634612425038,18.99474745457369,19.489577912381524,22.65309394466716,11
66.41552572336985,53.18776848196816,21.441628659565133,13.038378635541505,28.821711374578424,11
67.72993071161001,63.33215970360746,3.9982154373185264,18.85685868126995,30.815611311555134,11
11.855220538679035,31.04861269989673,4.730132416466838,18.84043133238965,25.633017438163353,11
54.54772779861519,40.79430989405334,18.83373853304467,19.80948049325699,30.003656997822592,11
77.22318015185112,33.3966041948164,9.716602637518015,20.040433286839065,23.02660937488947,11
16.839328706487667,51.055219064244575,7.912361930721345,23.120497412423248,23.65310596241776,11
36.118945113747394,49.06158365087731,2.8681858930116046,19.42667941408691,22.91215283111006,11
15.403197896524551,56.16080821908029,18.101955524084264,19.015765725356463,26.636724908722684,11
5.6917401329157515,49.68727505538237,19.555060482595927,21.3308082526655,24.011106702816743,11
25.70809935135815,61.63927227335428,14.906247539314,19.533826635264976,24.585007751880482,11
47.746430293997385,45.91164631988101,20.34031136768941,19.70677042053029,22.9616358401481,11
26.762896552156093,45.53038957860045,2.8435649257394093,15.822116213406265,25.12823501687897,11
33.97130959029557,42.77139351771232,9.3428173994423,22.296082077061918,24.90529171768498,11
26.29930436985674,31.616622001696342,8.62552024330058,19.781590121308714,17.122429271615424,11
25.3373053538278,60.356142592661044,25.750134557261042,19.329619773413743,23.667868863658914,11
21.896364450173206,46.51658312642315,12.030559816874657,20.432162474137773,27.766143970834882,11
49.9275807109943,30.506272861347725,16.55036747168114,21.702522856066462,26.92083273965036,11
3.8607945063549094,46.513831676364504,17.311615115781326,22.35731550917903,24.263321369119083,11
121.34230095403939,47.61533627071431,13.424699124802068,22.2233642154379,25.33268508194099,11
0.5363753115758364,42.07745416705126,7.924259866030248,20.977051975473188,23.521962009561342,11
15.959550031701632,43.98605158943928,19.297563552443403,16.58211444948295,20.833551453104047,11
77.74241591773622,57.995071035450934,2.197939852547499,17.391056762521572,27.751071692204064,11
45.159022718978896,37.83808423823855,14.282739691266771,19.41995393730981,28.518449335544787,11
29.440492954564217,52.38047702918365,16.58355481376034,18.899185517573784,15.637502615465834,11
